Fecha,DíaDeLaSemana,Promociones,Festivo,Ventas
2022-01-01,6,0,0,4033
2022-01-02,7,0,1,4012
2022-01-03,1,0,0,1608
2022-01-04,2,1,0,2046
2022-01-05,3,0,0,2484
2022-01-06,4,1,0,3046
2022-01-07,5,0,0,3545
2022-01-08,6,0,0,4156
2022-01-09,7,0,1,4404
2022-01-10,1,0,0,1381
2022-01-11,2,0,0,2072
2022-01-12,3,0,0,2535
2022-01-13,4,1,0,3174
2022-01-14,5,0,0,3471
2022-01-15,6,1,0,4241
2022-01-16,7,0,1,4176
2022-01-17,1,0,0,1561
2022-01-18,2,1,0,2167
2022-01-19,3,0,0,2407
2022-01-20,4,1,0,3188
2022-01-21,5,0,0,3408
2022-01-22,6,0,0,3894
2022-01-23,7,0,1,4220
2022-01-24,1,0,0,1423
2022-01-25,2,0,0,1957
2022-01-26,3,0,0,2610
2022-01-27,4,1,0,3165
2022-01-28,5,0,0,3568
2022-01-29,6,0,0,3790
2022-01-30,7,0,1,4159
2022-01-31,1,0,0,1367
2022-02-01,2,0,0,1998
2022-02-02,3,0,0,2400
2022-02-03,4,0,0,2914
2022-02-04,5,0,0,3510
2022-02-05,6,0,0,3979
2022-02-06,7,0,1,4290
2022-02-07,1,0,0,1391
2022-02-08,2,0,0,2037
2022-02-09,3,0,0,2736
2022-02-10,4,1,0,3119
2022-02-11,5,0,0,3451
2022-02-12,6,0,0,3952
2022-02-13,7,0,1,4240
2022-02-14,1,0,0,1381
2022-02-15,2,0,0,1948
2022-02-16,3,0,0,2435
2022-02-17,4,0,0,2955
2022-02-18,5,0,0,3418
2022-02-19,6,0,0,4045
2022-02-20,7,0,1,4184
2022-02-21,1,0,0,1470
2022-02-22,2,0,0,2028
2022-02-23,3,0,0,2600
2022-02-24,4,1,0,3153
2022-02-25,5,0,0,3457
2022-02-26,6,0,0,3947
2022-02-27,7,0,1,4138
2022-02-28,1,0,0,1628
2022-03-01,2,1,0,2326
2022-03-02,3,0,0,2752
2022-03-03,4,0,0,3080
2022-03-04,5,0,0,3532
2022-03-05,6,1,0,4021
2022-03-06,7,0,1,4215
2022-03-07,1,0,0,1657
2022-03-08,2,0,0,1947
2022-03-09,3,0,0,2369
2022-03-10,4,0,0,3085
2022-03-11,5,0,0,3653
2022-03-12,6,1,0,4060
2022-03-13,7,0,1,4131
2022-03-14,1,0,0,1512
2022-03-15,2,0,0,2044
2022-03-16,3,0,0,2561
2022-03-17,4,1,0,3141
2022-03-18,5,0,0,3494
2022-03-19,6,0,0,4070
2022-03-20,7,0,1,4256
2022-03-21,1,0,0,1602
2022-03-22,2,0,0,2061
2022-03-23,3,0,0,2449
2022-03-24,4,0,0,2946
2022-03-25,5,0,0,3462
2022-03-26,6,1,0,4056
2022-03-27,7,0,1,4265
2022-03-28,1,0,0,1550
2022-03-29,2,1,0,2131
2022-03-30,3,0,0,2377
2022-03-31,4,0,0,3067
2022-04-01,5,0,0,3496
2022-04-02,6,0,0,3973
2022-04-03,7,0,1,4064
2022-04-04,1,0,0,1620
2022-04-05,2,0,0,1954
2022-04-06,3,0,0,2659
2022-04-07,4,0,0,3073
2022-04-08,5,0,0,3627
2022-04-09,6,1,0,4134
2022-04-10,7,0,1,4191
2022-04-11,1,0,0,1635
2022-04-12,2,0,0,2076
2022-04-13,3,0,0,2660
2022-04-14,4,0,0,3204
2022-04-15,5,0,0,3524
2022-04-16,6,0,0,3972
2022-04-17,7,0,1,4282
2022-04-18,1,0,0,1539
2022-04-19,2,0,0,1966
2022-04-20,3,0,0,2531
2022-04-21,4,1,0,2944
2022-04-22,5,0,0,3626
2022-04-23,6,0,0,3848
2022-04-24,7,0,1,3996
2022-04-25,1,0,0,1426
2022-04-26,2,1,0,2083
2022-04-27,3,0,0,2502
2022-04-28,4,1,0,3188
2022-04-29,5,0,0,3590
2022-04-30,6,0,0,4044
2022-05-01,7,0,1,4228
2022-05-02,1,0,0,1506
2022-05-03,2,1,0,2289
2022-05-04,3,0,0,2598
2022-05-05,4,0,0,3038
2022-05-06,5,0,0,3370
2022-05-07,6,0,0,4074
2022-05-08,7,0,1,4021
2022-05-09,1,0,0,1503
2022-05-10,2,1,0,2291
2022-05-11,3,0,0,2346
2022-05-12,4,0,0,3075
2022-05-13,5,0,0,3334
2022-05-14,6,0,0,3904
2022-05-15,7,0,1,4207
2022-05-16,1,0,0,1324
2022-05-17,2,0,0,2097
2022-05-18,3,0,0,2408
2022-05-19,4,0,0,2964
2022-05-20,5,0,0,3502
2022-05-21,6,0,0,4042
2022-05-22,7,0,1,4089
2022-05-23,1,0,0,1683
2022-05-24,2,1,0,2140
2022-05-25,3,0,0,2662
2022-05-26,4,0,0,3013
2022-05-27,5,0,0,3549
2022-05-28,6,0,0,3912
2022-05-29,7,0,1,4185
2022-05-30,1,0,0,1604
2022-05-31,2,0,0,2098
2022-06-01,3,0,0,2548
2022-06-02,4,1,0,3182
2022-06-03,5,0,0,3299
2022-06-04,6,0,0,4040
2022-06-05,7,0,1,4164
2022-06-06,1,0,0,1379
2022-06-07,2,0,0,1977
2022-06-08,3,0,0,2425
2022-06-09,4,0,0,3331
2022-06-10,5,0,0,3345
2022-06-11,6,1,0,4344
2022-06-12,7,0,1,4270
2022-06-13,1,0,0,1453
2022-06-14,2,0,0,2016
2022-06-15,3,0,0,2576
2022-06-16,4,1,0,3212
2022-06-17,5,0,0,3441
2022-06-18,6,1,0,4202
2022-06-19,7,0,1,4223
2022-06-20,1,0,0,1415
2022-06-21,2,1,0,2160
2022-06-22,3,0,0,2591
2022-06-23,4,0,0,2989
2022-06-24,5,0,0,3516
2022-06-25,6,0,0,3984
2022-06-26,7,0,1,4322
2022-06-27,1,0,0,1651
2022-06-28,2,1,0,2110
2022-06-29,3,0,0,2539
2022-06-30,4,0,0,3117
